layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.09782608598470688,0.2043924331665039
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.10869565606117249,0.14194917678833008
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.14402173459529877,0.14494848251342773
0,model.layers.0.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.19021739065647125,0.14592289924621582
0,model.layers.0.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.08423913270235062,0.14701104164123535
0,model.layers.0.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.0733695700764656,0.14701604843139648
0,model.layers.0.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.20652174949645996,0.14838314056396484
1,model.layers.1.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05978260934352875,0.144012451171875
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05434782803058624,0.14357352256774902
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.08967391401529312,0.14659380912780762
1,model.layers.1.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.16847826540470123,0.1508502960205078
1,model.layers.1.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.33152174949645996,0.1499474048614502
1,model.layers.1.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.19021739065647125,0.14678001403808594
1,model.layers.1.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.16304348409175873,0.14844870567321777
2,model.layers.2.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.0679347813129425,0.1434166431427002
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.0733695700764656,0.14436793327331543
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.0679347813129425,0.1462407112121582
2,model.layers.2.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.08695652335882187,0.14394211769104004
2,model.layers.2.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.657608687877655,0.14797496795654297
