layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
,model.vision_tower.patch_embedder.input_proj,other,768,768,589824,0.0,0.0,0.16860508918762207
0,model.vision_tower.encoder.layers.0.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1413741111755371
0,model.vision_tower.encoder.layers.0.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14420294761657715
0,model.vision_tower.encoder.layers.0.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13335704803466797
0,model.vision_tower.encoder.layers.0.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14039850234985352
0,model.vision_tower.encoder.layers.0.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14277935028076172
0,model.vision_tower.encoder.layers.0.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14188170433044434
0,model.vision_tower.encoder.layers.0.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14258360862731934
1,model.vision_tower.encoder.layers.1.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14204621315002441
1,model.vision_tower.encoder.layers.1.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1429147720336914
1,model.vision_tower.encoder.layers.1.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13282418251037598
1,model.vision_tower.encoder.layers.1.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14089655876159668
1,model.vision_tower.encoder.layers.1.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14513063430786133
1,model.vision_tower.encoder.layers.1.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14367938041687012
1,model.vision_tower.encoder.layers.1.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14264225959777832
2,model.vision_tower.encoder.layers.2.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14222502708435059
2,model.vision_tower.encoder.layers.2.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1397998332977295
2,model.vision_tower.encoder.layers.2.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13642454147338867
2,model.vision_tower.encoder.layers.2.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.13703632354736328
2,model.vision_tower.encoder.layers.2.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14094328880310059
2,model.vision_tower.encoder.layers.2.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14286231994628906
2,model.vision_tower.encoder.layers.2.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14169049263000488
3,model.vision_tower.encoder.layers.3.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14020633697509766
