layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.005825771950185299,0.0052083334885537624,0.11059069633483887
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0015257855411618948,0.010416666977107525,0.06873297691345215
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.01787680760025978,0.01302083395421505,0.06994962692260742
0,model.layers.0.self_attn.o_proj,attn_out,3072,3072,9437184,0.024299679324030876,0.0182291679084301,0.06823849678039551
0,model.layers.0.mlp.gate_proj,mlp_up,8192,3072,25165824,0.015199452638626099,0.0260416679084301,0.07164597511291504
0,model.layers.0.mlp.up_proj,mlp_up,8192,3072,25165824,0.03458128869533539,0.0182291679084301,0.07553911209106445
0,model.layers.0.mlp.down_proj,mlp_down,3072,8192,25165824,0.8717784881591797,0.15625,0.07070136070251465
1,model.layers.1.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0008903937414288521,0.0078125,0.06983280181884766
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0005112463841214776,0.0052083334885537624,0.06933808326721191
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.013531583361327648,0.0078125,0.07082295417785645
1,model.layers.1.self_attn.o_proj,attn_out,3072,3072,9437184,0.004174801055341959,0.015625,0.07095456123352051
1,model.layers.1.mlp.gate_proj,mlp_up,8192,3072,25165824,0.013982891105115414,0.02083333395421505,0.07165861129760742
1,model.layers.1.mlp.up_proj,mlp_up,8192,3072,25165824,0.009625116363167763,0.01302083395421505,0.07496333122253418
1,model.layers.1.mlp.down_proj,mlp_down,3072,8192,25165824,0.6238347887992859,0.0546875,0.07166862487792969
2,model.layers.2.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.000867245951667428,0.0052083334885537624,0.0710604190826416
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.02573048137128353,0.0234375,0.06992292404174805
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.003689272329211235,0.010416666977107525,0.07042813301086426
2,model.layers.2.self_attn.o_proj,attn_out,3072,3072,9437184,0.0027200381737202406,0.0052083334885537624,0.07079553604125977
2,model.layers.2.mlp.gate_proj,mlp_up,8192,3072,25165824,0.016922470182180405,0.015625,0.08265471458435059
2,model.layers.2.mlp.up_proj,mlp_up,8192,3072,25165824,0.16868770122528076,0.0078125,0.0709991455078125
2,model.layers.2.mlp.down_proj,mlp_down,3072,8192,25165824,0.23078188300132751,0.0234375,0.08717846870422363
3,model.layers.3.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0012862480944022536,0.01302083395421505,0.07487368583679199
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.004967236425727606,0.02864583395421505,0.07027173042297363
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.014897627755999565,0.015625,0.0706319808959961
3,model.layers.3.self_attn.o_proj,attn_out,3072,3072,9437184,0.005605784710496664,0.010416666977107525,0.07314324378967285
3,model.layers.3.mlp.gate_proj,mlp_up,8192,3072,25165824,0.01908915489912033,0.010416666977107525,0.07233238220214844
3,model.layers.3.mlp.up_proj,mlp_up,8192,3072,25165824,0.04221773147583008,0.0182291679084301,0.07242918014526367
3,model.layers.3.mlp.down_proj,mlp_down,3072,8192,25165824,0.015080767683684826,0.0260416679084301,0.07152438163757324
4,model.layers.4.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.001983154332265258,0.010416666977107525,0.07096385955810547
4,model.layers.4.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0017625605687499046,0.015625,0.06872367858886719
4,model.layers.4.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.007204366382211447,0.01302083395421505,0.06888818740844727
4,model.layers.4.self_attn.o_proj,attn_out,3072,3072,9437184,0.0037861696910113096,0.010416666977107525,0.06896734237670898
4,model.layers.4.mlp.gate_proj,mlp_up,8192,3072,25165824,0.027834691107273102,0.0052083334885537624,0.07113027572631836
4,model.layers.4.mlp.up_proj,mlp_up,8192,3072,25165824,0.05157638341188431,0.010416666977107525,0.07114291191101074
4,model.layers.4.mlp.down_proj,mlp_down,3072,8192,25165824,0.031201232224702835,0.0078125,0.07047176361083984
5,model.layers.5.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0019015602301806211,0.0078125,0.07290291786193848
5,model.layers.5.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.003346577286720276,0.0078125,0.07098627090454102
