model,task,fp16,int4_naive,int4_protected,delta_naive,delta_protected,recovery_pct
llama-3_2-3b,mmlu,0.6227033186155818,0.5083321464178892,0.5801167924797037,-0.11437117219769266,-0.0425865261358781,62.76463262764632
llama-3_2-3b,hellaswag,0.7161919936267676,0.6632144991037642,0.6927902808205537,-0.05297749452300338,-0.023401712806213837,55.82706766917305
llama-3_2-3b,arc_challenge,0.4616040955631399,0.40017064846416384,0.431740614334471,-0.06143344709897608,-0.029863481228668942,51.388888888888864
llama-3_2-3b,winogrande,0.6866614048934491,0.6400947119179163,0.6614048934490924,-0.04656669297553273,-0.0252565114443567,45.76271186440686
llama-3_2-3b,gsm8k,0.6004548900682335,0.3214556482183472,0.488248673237301,-0.2789992418498863,-0.11220621683093251,59.78260869565217
llama-3_2-3b,truthfulqa_mc1,0.3353733170134639,0.2998776009791922,0.31701346389228885,-0.03549571603427171,-0.01835985312117505,48.27586206896543
llama-3_2-3b,truthfulqa_mc2,0.5147257274015192,0.4979993297354065,0.5122251633005912,-0.016726397666112724,-0.0025005641009280266,85.05019340778853
llama-3_2-3b,bbq,0.47250906106818025,0.4446078096149901,0.4627812350406893,-0.027901251453190168,-0.009727826027490949,65.13480392156858
llama-3_2-3b,toxigen,0.5372340425531915,0.4308510638297872,0.5393617021276595,-0.1063829787234043,0.0021276595744680327,101.99999999999996
llama-3_1-8b,mmlu,0.6843042301666429,0.5731377296681385,0.627617148554337,-0.1111665004985044,-0.056687081612305845,49.00704676489435
llama-3_1-8b,hellaswag,0.7951603266281617,0.7476598287193786,0.7781318462457678,-0.04750049790878308,-0.017028480382393907,64.15094339622647
llama-3_1-8b,arc_challenge,0.5588737201365188,0.4948805460750853,0.5034129692832765,-0.06399317406143351,-0.05546075085324231,13.33333333333343
llama-3_1-8b,winogrande,0.7332280978689818,0.7040252565114443,0.7182320441988951,-0.02920284135753748,-0.014996053670086718,48.64864864864898
llama-3_1-8b,gsm8k,0.714177407126611,0.3100833965125095,0.558756633813495,-0.40409401061410155,-0.155420773313116,61.53846153846154
llama-3_1-8b,truthfulqa_mc1,0.3806609547123623,0.3268053855569155,0.35495716034271724,-0.05385556915544676,-0.02570379436964504,52.27272727272728
llama-3_1-8b,truthfulqa_mc2,0.5451888714056895,0.5060188629803769,0.527316937123677,-0.0391700084253126,-0.017871934282012503,54.37342242065174
llama-3_1-8b,bbq,0.49478561170758395,0.46845722491964714,0.47700540244819806,-0.02632838678793681,-0.017780209259385893,32.467532467532486
llama-3_1-8b,toxigen,0.5882978723404255,0.5797872340425532,0.5361702127659574,-0.008510638297872353,-0.05212765957446808,-512.499999999999
gemma-4-4b,mmlu,0.40791909984332714,,,,,
gemma-4-4b,hellaswag,0.35002987452698664,,,,,
gemma-4-4b,arc_challenge,0.24914675767918087,,,,,
gemma-4-4b,winogrande,0.4861878453038674,,,,,
gemma-4-4b,gsm8k,0.6899166034874905,,,,,
gemma-4-4b,truthfulqa_mc1,0.2766217870257038,,,,,
gemma-4-4b,truthfulqa_mc2,0.482458923627833,,,,,
gemma-4-4b,bbq,0.526858373794707,,,,,
gemma-4-4b,toxigen,0.5702127659574469,,,,,
qwen3-8b,mmlu,0.7295257085885202,0.6265489246546077,0.6652898447514599,-0.10297678393391252,-0.06423586383706026,37.62102351313967
qwen3-8b,hellaswag,0.7495518820952002,0.6932881896036646,0.7206731726747659,-0.05626369249153562,-0.028878709420434245,48.672566371681356
qwen3-8b,arc_challenge,0.568259385665529,0.4453924914675768,0.49829351535836175,-0.12286689419795221,-0.06996587030716728,43.05555555555552
qwen3-8b,winogrande,0.6819258089976322,0.6361483820047356,0.6464088397790055,-0.045777426992896664,-0.03551696921862668,22.413793103448363
qwen3-8b,gsm8k,0.8726307808946171,0.5344958301743745,0.7172100075815011,-0.3381349507202426,-0.155420773313116,54.035874439461885
qwen3-8b,truthfulqa_mc1,0.3659730722154223,0.3157894736842105,0.35006119951040393,-0.05018359853121179,-0.01591187270501837,68.29268292682927
qwen3-8b,truthfulqa_mc2,0.5439314183487803,0.5039465354881463,0.5385875944808787,-0.03998488286063406,-0.005343823867901665,86.63538946324445
qwen3-8b,bbq,0.49502496067838336,0.41537304246734597,0.4496170416467209,-0.0796519182110374,-0.04540791903166247,42.99205838162693
qwen3-8b,toxigen,0.5191489361702127,0.4925531914893617,0.44893617021276594,-0.02659574468085102,-0.0702127659574468,-164.0000000000004
