layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
0,model.language_model.layers.0.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.003055357374250889,0.020725388079881668,193,0.15616440773010254
0,model.language_model.layers.0.self_attn.k_proj,attn_qkv,512,2560,1310720,0.0024950550869107246,0.020725388079881668,193,0.15304207801818848
0,model.language_model.layers.0.self_attn.v_proj,attn_qkv,512,2560,1310720,0.013307886198163033,0.020725388079881668,193,0.152238130569458
0,model.language_model.layers.0.self_attn.o_proj,attn_out,2560,2048,5242880,0.01286565512418747,0.031088082119822502,193,0.15891456604003906
0,model.language_model.layers.0.mlp.gate_proj,mlp_up,10240,2560,26214400,0.01803268864750862,0.020725388079881668,193,0.1555182933807373
0,model.language_model.layers.0.mlp.up_proj,mlp_up,10240,2560,26214400,0.01760019361972809,0.036269430071115494,193,0.1562955379486084
0,model.language_model.layers.0.mlp.down_proj,mlp_down,2560,10240,26214400,0.055088501423597336,0.04663212224841118,193,0.1617295742034912
0,model.language_model.layers.0.per_layer_input_gate,other,256,2560,655360,0.009608198888599873,0.02590673416852951,193,0.1517627239227295
0,model.language_model.layers.0.per_layer_projection,other,2560,256,655360,0.008872417733073235,0.02590673416852951,193,0.1525588035583496
1,model.language_model.layers.1.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0039059340488165617,0.015544041059911251,193,0.15555834770202637
1,model.language_model.layers.1.self_attn.k_proj,attn_qkv,512,2560,1310720,0.0046603004448115826,0.010362694039940834,193,0.15059638023376465
1,model.language_model.layers.1.self_attn.v_proj,attn_qkv,512,2560,1310720,0.06528833508491516,0.05699481815099716,193,0.1451122760772705
1,model.language_model.layers.1.self_attn.o_proj,attn_out,2560,2048,5242880,0.05745980888605118,0.062176164239645004,193,0.15361928939819336
1,model.language_model.layers.1.mlp.gate_proj,mlp_up,10240,2560,26214400,0.019160890951752663,0.041450776159763336,193,0.16202712059020996
1,model.language_model.layers.1.mlp.up_proj,mlp_up,10240,2560,26214400,0.007991684600710869,0.036269430071115494,193,0.16193342208862305
1,model.language_model.layers.1.mlp.down_proj,mlp_down,2560,10240,26214400,0.02278323471546173,0.02590673416852951,193,0.1630861759185791
1,model.language_model.layers.1.per_layer_input_gate,other,256,2560,655360,0.02552158199250698,0.041450776159763336,193,0.1515181064605713
1,model.language_model.layers.1.per_layer_projection,other,2560,256,655360,0.0021524697076529264,0.005181347019970417,193,0.1457839012145996
2,model.language_model.layers.2.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0024197124876081944,0.010362694039940834,193,0.1486053466796875
