layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.language_model.layers.0.self_attn.q_proj,attn_qkv,0,0.0,2560,2048,5242880,0.45565128326416016,0.259765625,0.0215911865234375,12.031095406360423,1684.276611328125,2.538649434258551
model.language_model.layers.0.self_attn.k_proj,attn_qkv,0,0.0,2560,512,1310720,0.23217344284057617,0.181640625,0.02191162109375,8.289693593314762,490.3036804199219,3.1239201244866432
model.language_model.layers.0.self_attn.v_proj,attn_qkv,0,0.0,2560,512,1310720,0.33879566192626953,0.34765625,0.0218353271484375,15.921733053808525,482.3205261230469,1.6748972621711873
model.language_model.layers.0.self_attn.o_proj,attn_out,0,0.0,2048,2560,5242880,1.7968778610229492,0.353515625,0.0214385986328125,16.48967971530249,1671.34326171875,4.689327968116473
model.language_model.layers.0.mlp.gate_proj,mlp_up,0,0.0,2560,10240,26214400,0.7132463455200195,0.337890625,0.0201416015625,16.775757575757577,2415.599853515625,4.477615181787371
model.language_model.layers.0.mlp.up_proj,mlp_up,0,0.0,2560,10240,26214400,0.4220438003540039,0.30859375,0.02069091796875,14.914454277286136,2435.176025390625,2.153531256360773
model.language_model.layers.0.mlp.down_proj,mlp_down,0,0.0,10240,2560,26214400,1.4681029319763184,0.423828125,0.0162811279296875,26.03186504217432,2364.189208984375,3.57945365053425
model.language_model.layers.0.per_layer_input_gate,other,0,0.0,2560,256,655360,1.468595027923584,0.01422119140625,0.0010271072387695312,13.845868152274837,244.89292907714844,1.7815001748244677
model.language_model.layers.0.per_layer_projection,other,0,0.0,256,2560,655360,11.168103218078613,0.72265625,0.04510498046875,16.021650879566984,204.37855529785156,2.0606229491256713
model.language_model.layers.1.self_attn.q_proj,attn_qkv,1,0.024390243902439025,2560,2048,5242880,0.5033228397369385,0.306640625,0.0212249755859375,14.447160316319195,1672.029541015625,3.2072057625343384
model.language_model.layers.1.self_attn.k_proj,attn_qkv,1,0.024390243902439025,2560,512,1310720,0.7383365631103516,0.26171875,0.020782470703125,12.593245227606461,486.4043884277344,3.0966364212032085
model.language_model.layers.1.self_attn.v_proj,attn_qkv,1,0.024390243902439025,2560,512,1310720,0.38074564933776855,0.2373046875,0.0221405029296875,10.718125430737423,493.157958984375,1.8627565252096805
model.language_model.layers.1.self_attn.o_proj,attn_out,1,0.024390243902439025,2048,2560,5242880,7.4902143478393555,0.640625,0.0201416015625,31.806060606060605,1727.5584716796875,5.423308955622884
model.language_model.layers.1.mlp.gate_proj,mlp_up,1,0.024390243902439025,2560,10240,26214400,0.8472304344177246,0.3125,0.020111083984375,15.538694992412747,2391.45068359375,4.539231703818021
model.language_model.layers.1.mlp.up_proj,mlp_up,1,0.024390243902439025,2560,10240,26214400,0.5801899433135986,0.341796875,0.0208892822265625,16.362308254200148,2405.907958984375,2.2729715857160095
model.language_model.layers.1.mlp.down_proj,mlp_down,1,0.024390243902439025,10240,2560,26214400,2.4925899505615234,0.490234375,0.0164337158203125,29.831012070566388,2361.5751953125,3.8991588018199144
model.language_model.layers.1.per_layer_input_gate,other,1,0.024390243902439025,2560,256,655360,1.4855618476867676,0.03662109375,0.0029430389404296875,12.443292287751134,248.17909240722656,1.5510695090465778
model.language_model.layers.1.per_layer_projection,other,1,0.024390243902439025,256,2560,655360,20.479047775268555,0.71875,0.03857421875,18.632911392405063,171.80349731445312,2.7586730435154005
