layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.09565537422895432,0.056410256773233414,195,0.0779123306274414
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.12786681950092316,0.09743589907884598,195,0.07448744773864746
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.4103946089744568,0.12820513546466827,195,0.07173442840576172
0,model.layers.0.self_attn.o_proj,attn_out,3072,3072,9437184,0.22054456174373627,0.13333334028720856,195,0.07205748558044434
0,model.layers.0.mlp.gate_proj,mlp_up,8192,3072,25165824,2.8476600646972656,0.7487179636955261,195,0.09513187408447266
0,model.layers.0.mlp.up_proj,mlp_up,8192,3072,25165824,0.09269806742668152,0.09743589907884598,195,0.09995532035827637
0,model.layers.0.mlp.down_proj,mlp_down,3072,8192,25165824,0.3465312123298645,0.25128206610679626,195,0.09901642799377441
1,model.layers.1.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.050756219774484634,0.05128205195069313,195,0.07555508613586426
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0378207303583622,0.03589743748307228,195,0.07316088676452637
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.021248923614621162,0.020512821152806282,195,0.07299423217773438
1,model.layers.1.self_attn.o_proj,attn_out,3072,3072,9437184,0.025312203913927078,0.025641025975346565,195,0.07796716690063477
1,model.layers.1.mlp.gate_proj,mlp_up,8192,3072,25165824,0.05333840101957321,0.025641025975346565,195,0.0987541675567627
1,model.layers.1.mlp.up_proj,mlp_up,8192,3072,25165824,0.030910730361938477,0.025641025975346565,195,0.09856438636779785
1,model.layers.1.mlp.down_proj,mlp_down,3072,8192,25165824,0.36276042461395264,0.2769230902194977,195,0.09562873840332031
2,model.layers.2.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0802084356546402,0.07179487496614456,195,0.07292389869689941
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.09909050911664963,0.08717948943376541,195,0.07046914100646973
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.024722713977098465,0.041025642305612564,195,0.07761287689208984
2,model.layers.2.self_attn.o_proj,attn_out,3072,3072,9437184,0.023832019418478012,0.03589743748307228,195,0.09910774230957031
2,model.layers.2.mlp.gate_proj,mlp_up,8192,3072,25165824,0.03646930307149887,0.03589743748307228,195,0.09899067878723145
2,model.layers.2.mlp.up_proj,mlp_up,8192,3072,25165824,0.030435223132371902,0.061538465321063995,195,0.09941220283508301
2,model.layers.2.mlp.down_proj,mlp_down,3072,8192,25165824,0.058021724224090576,0.061538465321063995,195,0.10274839401245117
3,model.layers.3.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.04989178478717804,0.061538465321063995,195,0.07641410827636719
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.04610268771648407,0.04615384712815285,195,0.0794532299041748
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.035814397037029266,0.056410256773233414,195,0.07476592063903809
3,model.layers.3.self_attn.o_proj,attn_out,3072,3072,9437184,0.02625349350273609,0.041025642305612564,195,0.07555484771728516
3,model.layers.3.mlp.gate_proj,mlp_up,8192,3072,25165824,0.03305305913090706,0.03589743748307228,195,0.09549593925476074
3,model.layers.3.mlp.up_proj,mlp_up,8192,3072,25165824,0.05839213356375694,0.05128205195069313,195,0.09298968315124512
3,model.layers.3.mlp.down_proj,mlp_down,3072,8192,25165824,0.06528149545192719,0.056410256773233414,195,0.09912109375
4,model.layers.4.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.018117478117346764,0.061538465321063995,195,0.07528424263000488
4,model.layers.4.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.021386809647083282,0.061538465321063995,195,0.07407450675964355
4,model.layers.4.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.023483024910092354,0.030769232660531998,195,0.07340621948242188
4,model.layers.4.self_attn.o_proj,attn_out,3072,3072,9437184,0.027386469766497612,0.04615384712815285,195,0.07732057571411133
4,model.layers.4.mlp.gate_proj,mlp_up,8192,3072,25165824,0.039301369339227676,0.04615384712815285,195,0.09993243217468262
4,model.layers.4.mlp.up_proj,mlp_up,8192,3072,25165824,0.045135248452425,0.061538465321063995,195,0.10152173042297363
4,model.layers.4.mlp.down_proj,mlp_down,3072,8192,25165824,0.04421410337090492,0.04615384712815285,195,0.10012006759643555
5,model.layers.5.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.022612739354372025,0.056410256773233414,195,0.07569241523742676
5,model.layers.5.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.014920291490852833,0.05128205195069313,195,0.07242846488952637
5,model.layers.5.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.008649354800581932,0.041025642305612564,195,0.07085275650024414
5,model.layers.5.self_attn.o_proj,attn_out,3072,3072,9437184,0.022868458181619644,0.030769232660531998,195,0.07325196266174316
5,model.layers.5.mlp.gate_proj,mlp_up,8192,3072,25165824,0.032321617007255554,0.03589743748307228,195,0.09550786018371582
5,model.layers.5.mlp.up_proj,mlp_up,8192,3072,25165824,0.03930572792887688,0.07692307978868484,195,0.10008573532104492
5,model.layers.5.mlp.down_proj,mlp_down,3072,8192,25165824,0.03798751160502434,0.07692307978868484,195,0.09978532791137695
6,model.layers.6.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.011886176653206348,0.03589743748307228,195,0.07687616348266602
6,model.layers.6.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.007494333665817976,0.030769232660531998,195,0.07433223724365234
6,model.layers.6.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.006699250545352697,0.025641025975346565,195,0.07386326789855957
6,model.layers.6.self_attn.o_proj,attn_out,3072,3072,9437184,0.01892556995153427,0.05128205195069313,195,0.07747983932495117
6,model.layers.6.mlp.gate_proj,mlp_up,8192,3072,25165824,0.03753857687115669,0.056410256773233414,195,0.09744834899902344
6,model.layers.6.mlp.up_proj,mlp_up,8192,3072,25165824,0.03148714452981949,0.05128205195069313,195,0.09578347206115723
6,model.layers.6.mlp.down_proj,mlp_down,3072,8192,25165824,0.04761278256773949,0.061538465321063995,195,0.09425902366638184
7,model.layers.7.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.012618539854884148,0.056410256773233414,195,0.07389545440673828
7,model.layers.7.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.010914444923400879,0.04615384712815285,195,0.07451868057250977
