layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.layers.0.self_attn.q_proj,attn_qkv,0,0.0,3072,3072,9437184,8.403220176696777,1.015625,0.023284912109375,43.6173001310616,1214.6728515625,11.831165231332317
model.layers.0.self_attn.k_proj,attn_qkv,0,0.0,3072,1024,3145728,6.217216491699219,0.953125,0.02874755859375,33.15498938428875,548.1633911132812,5.551160339090581
model.layers.0.self_attn.v_proj,attn_qkv,0,0.0,3072,1024,3145728,1.604712963104248,0.0849609375,0.00826263427734375,10.282548476454293,895.4569702148438,1.4348041262381812
model.layers.0.self_attn.o_proj,attn_out,0,0.0,3072,3072,9437184,4.428500175476074,0.46875,0.009246826171875,50.693069306930695,2114.8037109375,3.5188848675913804
model.layers.0.mlp.gate_proj,mlp_up,0,0.0,3072,8192,25165824,0.6447186470031738,0.59375,0.01483917236328125,40.012339331619536,2826.71435546875,3.1259497503644824
model.layers.0.mlp.up_proj,mlp_up,0,0.0,3072,8192,25165824,0.16866660118103027,0.283203125,0.01404571533203125,20.162954915806626,2869.959716796875,2.3825515968752575
model.layers.0.mlp.down_proj,mlp_down,0,0.0,8192,3072,25165824,2.195669174194336,0.7890625,0.01385498046875,56.951541850220266,2881.2529296875,2.5309749078935466
model.layers.1.self_attn.q_proj,attn_qkv,1,0.037037037037037035,3072,3072,9437184,2.336986541748047,0.68359375,0.0200042724609375,34.17238749046529,1787.7247314453125,4.687321033227376
model.layers.1.self_attn.k_proj,attn_qkv,1,0.037037037037037035,3072,1024,3145728,2.3392748832702637,0.349609375,0.0257110595703125,13.597626112759643,714.679443359375,2.7525516895334277
model.layers.1.self_attn.v_proj,attn_qkv,1,0.037037037037037035,3072,1024,3145728,0.4492461681365967,0.0869140625,0.0102081298828125,8.514200298953662,942.4600830078125,1.2250123424223263
model.layers.1.self_attn.o_proj,attn_out,1,0.037037037037037035,3072,3072,9437184,5.447683334350586,0.419921875,0.01062774658203125,39.511844938980616,2226.027587890625,3.4900346450158404
model.layers.1.mlp.gate_proj,mlp_up,1,0.037037037037037035,3072,8192,25165824,0.7295629978179932,0.62109375,0.0149993896484375,41.40793489318413,2807.620361328125,2.964226436665282
model.layers.1.mlp.up_proj,mlp_up,1,0.037037037037037035,3072,8192,25165824,1.7963404655456543,0.75390625,0.0140380859375,53.70434782608696,2857.029296875,1.7212751137860285
model.layers.1.mlp.down_proj,mlp_down,1,0.037037037037037035,8192,3072,25165824,0.8794264793395996,0.68359375,0.01399993896484375,48.828337874659404,2884.231689453125,2.372787775021969
